%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1.57E+18,21345,1.57E+18,base_imu_link,-0.035667607,0.0593506,-0.308249102,0.948782282,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.9193125,-1.168292969,9.829748906,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21346,1.57E+18,base_imu_link,-0.036309179,0.059578462,-0.308538753,0.948649508,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.909736328,-0.986345703,9.65278125,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21347,1.57E+18,base_imu_link,-0.036038697,0.059577196,-0.308465941,0.948683579,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.785246094,-1.129988281,9.906358281,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21348,1.57E+18,base_imu_link,-0.036664495,0.059120392,-0.308148227,0.948791423,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.881007813,-0.991325313,9.801403438,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21349,1.57E+18,base_imu_link,-0.036317851,0.059022334,-0.308417231,0.948723453,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.87641125,-0.866835078,9.734370234,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21350,1.57E+18,base_imu_link,-0.035513944,0.058804865,-0.307635028,0.949021305,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-1.043802734,-1.034226563,9.868053594,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21351,1.57E+18,base_imu_link,-0.035325641,0.059591326,-0.307994002,0.948862829,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.957617188,-0.857258906,9.676913203,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21352,1.57E+18,base_imu_link,-0.034455683,0.059689144,-0.308267114,0.948799978,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.813974609,-0.981749141,9.624052734,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21353,1.57E+18,base_imu_link,-0.03455213,0.059157168,-0.308056861,0.948898072,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.905139766,-1.020053828,9.681509766,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21354,1.57E+18,base_imu_link,-0.034702241,0.05922002,-0.30829494,0.948811348,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.818954219,-1.015074219,9.700662109,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21355,1.57E+18,base_imu_link,-0.034569581,0.059031612,-0.312205923,0.947548244,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.833126953,-1.168292969,9.76309875,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21356,1.57E+18,base_imu_link,-0.035437869,0.059004401,-0.311514569,0.947745383,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-1.005498047,-0.938464844,9.791827266,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21357,1.57E+18,base_imu_link,-0.034834909,0.059510866,-0.310999777,0.947905124,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.928888672,-1.010477656,9.537867188,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21358,1.57E+18,base_imu_link,-0.034808943,0.059800968,-0.311391507,0.947759205,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.881007813,-0.991325313,9.643205078,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21359,1.57E+18,base_imu_link,-0.034852144,0.059709269,-0.311148924,0.947843066,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.967193359,-0.981749141,9.557019531,0.04,0,0,0,0.04,0,0,0,0.04
